,Sample_ID,Species,Sample_type,Location,Li_6,Li_7,Be,B,Mg,Al,Si,P,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Er,Yb,Lu,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Ca,Pr
37,MAG 2,Maggot,Whole,JF,0.4,10.8,0.9,248.8,435246,16412,66.9,2489.6,5.1,1606.3,776.7,36.8,3475.4,83130.2,58,143.4,1955.5,26529.5,161.6,527,1422,2084.9,36.2,0.2,0.2,13.2,1.8,9.8,0.1,NA,0.8,0.2,9,132.2,0,36.5,1.6,1.4,0.2,0,61.2,NA,0.3,0.9,62.4,1.2,0.7,0.1,0.7,0.7,410.5,158027.7
38,MAG 3,Maggot,Whole,JF,0.6,16.3,0.5,203.6,666399.2,1920,10.2,2654.1,4.3,330.8,860.5,18.7,2620.3,55442.9,10.2,21.7,1512.6,21413.2,205.8,1163.2,1117.5,7038.7,40.7,0.2,0.4,15.3,4.7,3413.6,NA,NA,1.2,0.5,15.9,96,0,5.3,0.3,0.1,0,0,49.1,0,0.1,1.4,889.6,0.8,8.5,0.1,0.1,0.6,492,26348.4
39,L1,Lobster,Gills,JF,1.4,34.7,0.2,647.3,181875.7,4780.9,10.1,902.2,2,176.8,338.7,110.1,422.3,6626.3,20.5,123.9,13443.2,14950.6,13465.5,573.9,252.3,4869.4,28,0,0.4,14.2,154,681,0,5.6,5.1,0.6,1.4,43.6,0,24.9,1.6,0.9,0.1,0,5.3,0.1,0.5,0.7,36.4,0.5,4,0.2,0.1,5.6,328.5,186370.8
40,L1,Lobster,GI,JF,36.8,977.8,30.1,5035.2,2331743.8,1329142.8,76.8,9791.9,331.5,147649,5794.4,3244,31845.5,1971761.9,1173.1,5152.5,17442.3,23173.1,13923.9,799.9,568.8,290864.9,297.4,1.6,12.8,366.3,298.3,3641.8,2,38.8,16.3,13.7,13.3,2678.1,1,2326.1,98.4,73.9,9.6,0.3,6,0.2,0.8,0.8,15.7,1.9,78.7,0.5,47.3,131.2,39118.3,11265516.7
41,L1,Lobster,Eggs,JF,1.7,45.4,0.3,767,202293,923.4,1.2,3657.5,8.6,77.5,NA,22.6,2787.5,6587.7,31.8,38.3,6172.6,50529.1,18911.6,1178.8,417.9,6935,45.3,0.2,0.4,14.3,24.8,114.8,NA,14.7,0.9,1.8,2,33.7,0,4,0.1,0,0,0,14.8,0.3,1.4,0.9,7.7,0.7,2.1,0,0.7,0.6,488.3,26361.2
42,L1,Lobster,Liver,JF,1.3,36.1,0.2,752.3,147210.7,829.6,2.2,986,3.6,105.3,220.1,112.9,882.1,55578.3,160.3,560.7,61023.4,12245.4,20646.1,2289.6,401.3,4450.7,366.3,0,1.4,10.7,3968,2224.4,0,2.9,3.3,1,1.8,55.2,0,12.1,0.9,0.7,0.1,0.1,4.2,0,0.3,0.4,22.3,2.2,2.5,0.1,0.4,24.3,254.3,64361.7
43,L2,Lobster,all_tissues,JF,1.5,40.3,0.5,968.7,249508.3,20694.7,35.2,2887.7,5.3,127,NA,145.1,1489.8,41209.8,162,324.3,58884.6,29730.7,28537.9,1972.6,880.3,7068,152.2,0.1,1.3,16.7,3577.3,1643.2,0.1,14.9,7.9,0.7,6.4,103.4,0,32.2,1.9,1.2,0.2,0,3.8,0.1,0.3,0.8,101.4,2.2,20.2,0.1,0,12.8,427.1,186513.3
44,L3,Lobster,all_tissues,JF,1.5,38.9,0.1,947.8,240317.2,4583.5,10.2,3837.3,5.4,34.6,NA,84.1,1852.9,34220.3,143.7,369.9,59316.6,48973.6,20604.7,2521.9,981.9,9379.8,130,0.2,1.5,14.6,4039.9,3541.8,0.1,28.2,8.2,1.2,5.8,61.3,0,7.1,0.4,0.4,0,0,3.1,0,0.3,0.5,89.9,1.6,17.2,0.1,0,14.9,647.5,39329.6
45,OCT1,Octopus,Ink_gland,JF,3.8,96.6,29.4,72787.5,983394.9,15517.2,33,1462,5.2,269.1,43287.1,3819.2,3411.5,177194.6,46997.6,311231.9,168714.3,126086.2,14166.1,6212.4,1165.9,7699.9,104451.8,0.9,3.4,278.1,115.9,2262.6,0.3,8.1,149.6,2.1,4.8,71.5,0.4,1758.1,83.2,40.3,5.1,0.4,6.8,0.1,0.5,1.4,19.8,0.9,172.7,0.6,0.1,11754.6,425,7082884.1
46,OCT2,Octopus,Ink_gland,JF,2.9,72.4,5.1,10040.3,625004.8,36722.5,63.8,1600.3,NA,1653.1,11792.5,1687.9,2063.8,153205.3,24765.1,127894,20550.4,26785.8,24268.8,4064.2,2082.6,5930.8,39673.9,0.2,0.6,95.1,9.7,577.9,0.2,13.8,57.7,0.6,8.5,137.5,0.1,762.7,27.5,13.5,1.6,0.2,NA,0,0.2,0.3,49.2,0.9,155.6,0.7,NA,2992.7,340.1,2444384.7
